sampledate,pond_name,pond,Zmax,AirTemp,Secchi_Down,Secchi_Up,Open,Emergent,Floating,Substrate,Submergent,Algae
7/21/21,Allient center Pond,ALC,0.85,19.5,0.55,0.5,40,30,30,2,49,49
7/26/21,Midtown Pond,MDT,1.55,24.5,0.7,0.68,90,10,0,65,15,20
7/26/21,Dobson A8,DOBA8,1.9,24.4,0.6,0.55,90,0,0,80,10,10
7/26/21,lot 60,L60-UW,1.1,24.2,0.2,0.18,0,50,50,0,100,0
8/2/21,Alient Energy Center Pond,ALC,0.78,18.9,0.4,0.35,1,20,80,0,50,50
8/3/21,Owen Park Pond - East,OPP-E,1.6,20.7,0.23,0.2,85,0,15,100,0,0
8/3/21,Owen Park Pond - West,OPP-W,2.75,19.5,0.3,0.29,50,10,40,100,0,0
8/3/21,Dobson A 7,DOBA7,1.5,23.5,0.26,0.25,100,0,0,100,0,0
8/3/21,Elver Pond,ELV,3.25,20.1,0.65,0.63,65,20,15,90,0,10
8/3/21,Kettle Pond,KP,1.2,24.1,0.35,0.35,10,20,70,90,0,10
8/3/21,Orchard North,O-N,1.1,23.4,0.5,0.5,100,0,0,98,2,0
8/3/21,Orchard South,O-S,1.1,22.7,0.58,0.55,100,0,0,30,30,40
8/4/21,Door county Storm Water 1,DCSW1,1.8,22.3,0.8,0.78,78,20,2,75,10,15
8/4/21,Door county Storm Water 2,DCSW2,1.5,22.6,0.8,0.75,10,10,80,10,20,70
8/4/21,Door county Storm Water 3,DCSW3,2.15,23,1.4,1.3,80,10,2,20,40,40
8/4/21,Dobson A 4,DOBA4,1.7,22.2,0.3,0.28,40,20,40,100,0,0
8/4/21,Dobson A5,DOBA5,2.1,21.4,0.25,0.23,100,0,0,0,0,100
8/4/21,Commercial Ave Pond,CAP,1.25,21.7,0.53,0.5,5,20,75,75,20,5
8/5/21,Lot 60 Pond - UW,L60-UW,1.15,23.3,0.35,0.35,0,40,60,0,90,10
8/5/21,Hospital Pond - UW,HP-UW,2.15,22.3,0.75,0.75,95,0,5,35,50,15
8/5/21,Midtown Pond,MDT,1.65,23.4,0.4,0.4,60,25,25,80,10,10
8/5/21,Dobson A 8,DOBA8,2.1,21.3,0.5,0.48,95,0,5,98,0,2
